lang1|lang2|count
AD|AD|204
AD|AE|8
AE|AE|4283
AE|AF|2
AF|AF|164091
AF|AG|1
AG|AG|104
AG|AI|3
AI|AI|14
AL|AL|13545
AL|AM|1
AM|AM|8276
AN|AN|1
AO|AO|6913
AO|AQ|2
AQ|AQ|6291
AQ|AR|1
AR|AR|6869
AR|AS|3
AS|AS|18
AS|AT|1
AT|AT|5885
AT|AU|1
AU|AU|4140
AU|AW|1
AW|AW|47
AW|AX|1
AX|AX|812
AX|AZ|10
AZ|AZ|12371
BA|BA|3662
BA|BB|13
BB|BB|20
BB|BD|2
BD|BD|10672
BD|BE|3
BE|BE|4430
BE|BF|2
BF|BF|2126
BF|BG|32
BG|BG|14104
BG|BH|4
BH|BH|620
BH|BI|1
BI|BI|131
BI|BJ|3
BJ|BJ|1084
BJ|BL|3
BL|BL|67
BL|BM|1
BM|BM|127
BM|BN|1
BN|BN|154
BN|BO|1
BO|BO|5701
BO|BQ|1
BQ|BQ|96
BQ|BR|1
BR|BR|20947
BR|BS|1
BS|BS|517
BS|BT|4
BT|BT|177
BV|BV|60
BV|BW|1
BW|BW|247
BW|BY|2
BY|BY|20224
BY|BZ|4
BZ|BZ|331
BZ|CA|1
CA|CA|3418
CA|CC|5
CC|CC|23
CC|CD|1
CD|CD|3009
CF|CF|1692
CF|CG|1
CG|CG|2010
CG|CH|3
CH|CH|15787
CH|CI|3
CI|CI|5219
CI|CK|2
CK|CK|114
CK|CL|2
CL|CL|6423
CM|CM|4574
CM|CN|5
CN|CN|440832
CN|CO|1
CO|CO|10471
CO|CR|1
CR|CR|1406
CR|CS|2
CR|CU|1
CS|CS|2
CU|CU|7018
CU|CV|1
CV|CV|240
CV|CW|1
CW|CW|141
CW|CX|1
CX|CX|4
CX|CY|3
CY|CY|4254
CY|CZ|1
CZ|CZ|11229
CZ|DE|1
DE|DE|18372
DE|DJ|4
DJ|DJ|2488
DJ|DK|1
DK|DK|6968
DK|DM|1
DM|DM|82
DM|DO|4
DO|DO|5571
DO|DZ|3
DZ|DZ|9955
DZ|EC|1
EC|EC|3616
EC|EE|1
EE|EE|8718
EG|EG|44584
EG|EH|2
EH|EH|890
EH|ER|1
ER|ER|1746
ER|ES|1
ES|ES|16586
ES|ET|1
ET|ET|9193
ET|FI|1
FI|FI|14186
FI|FJ|2
FJ|FJ|1058
FK|FK|401
FK|FM|1
FM|FM|1848
FO|FO|1116
FR|FR|57675
FR|GA|1
GA|GA|1204
GA|GB|3
GB|GB|4448
GB|GD|3
GD|GD|87
GE|GE|4799
GE|GF|1
GF|GF|1277
GF|GG|1
GG|GG|149
GG|GH|2
GH|GH|2705
GI|GI|67
GI|GL|1
GL|GL|4495
GL|GM|3
GM|GM|371
GM|GN|9
GN|GN|2290
GN|GP|3
GP|GP|528
GQ|GQ|851
GQ|GR|16
GR|GR|38300
GR|GS|6
GS|GS|330
GS|GT|3
GT|GT|2687
GT|GU|3
GU|GU|167
GU|GW|3
GW|GW|1492
GW|GY|1
GY|GY|1145
GY|HK|10
HK|HK|2328
HM|HM|44
HM|HN|2
HN|HN|3616
HN|HR|1
HR|HR|6899
HR|HT|3
HT|HT|1977
HT|HU|7
HU|HU|8903
ID|ID|35667
IE|IE|2463
IE|IL|3
IL|IL|10414
IL|IM|3
IM|IM|28
IM|IN|1
IN|IN|23939
IO|IO|7
IO|IQ|1
IQ|IQ|58540
IQ|IR|1
IR|IR|265032
IS|IS|3231
IS|IT|1
IT|IT|10591
IT|JE|1
JE|JE|203
JE|JM|1
JM|JM|490
JM|JO|11
JO|JO|12151
JO|JP|7
JP|JP|79777
KE|KE|2262
KE|KG|4
KG|KG|4498
KG|KH|3
KH|KH|15943
KI|KI|294
KI|KM|1
KM|KM|216
KM|KN|1
KN|KN|210
KN|KP|3
KP|KP|31622
KP|KR|7
KR|KR|98762
KR|KW|11
KW|KW|1291
KW|KY|1
KY|KY|32
KY|KZ|1
KZ|KZ|16370
LA|LA|8969
LB|LB|29350
LC|LC|172
LC|LI|1
LI|LI|67
LK|LK|2475
LK|LR|1
LR|LR|2909
LR|LS|1
LS|LS|317
LS|LT|5
LT|LT|13587
LT|LU|1
LU|LU|659
LU|LV|2
LV|LV|9701
LV|LY|1
LY|LY|25855
LY|MA|1
MA|MA|27968
MA|MC|2
MC|MC|32
MC|MD|5
MD|MD|4531
MD|ME|1
ME|ME|1902
ME|MF|1
MF|MF|81
MF|MG|2
MG|MG|3031
MG|MH|3
MH|MH|2061
MH|MK|3
MK|MK|10390
MK|ML|1
ML|ML|6501
ML|MM|1
MM|MM|3588
MN|MN|8986
MN|MO|25
MO|MO|122
MO|MP|3
MP|MP|175
MP|MQ|1
MQ|MQ|512
MQ|MR|2
MR|MR|6863
MR|MS|1
MS|MS|21
MT|MT|1479
MT|MU|3
MU|MU|569
MU|MV|1
MV|MV|196
MV|MW|1
MW|MW|504
MW|MX|5
MX|MX|35581
MY|MY|6091
MZ|MZ|5569
NC|NC|1595
NC|NE|3
NE|NE|5613
NE|NF|6
NF|NF|6
NF|NG|1
NG|NG|3080
NG|NI|1
NI|NI|2199
NL|NL|2693
NL|NO|2
NO|NO|105383
NO|NP|5
NP|NP|3217
NP|NR|1
NR|NR|30
NR|NU|4
NU|NU|3
NU|NZ|1
NZ|NZ|1135
NZ|OM|3
OM|OM|4914
OM|PA|3
PA|PA|4035
PA|PE|1
PE|PE|6930
PE|PF|3
PF|PF|1303
PF|PG|3
PG|PG|3289
PH|PH|9783
PK|PK|54534
PK|PL|1
PL|PL|18795
PL|PM|3
PM|PM|46
PM|PN|1
PN|PN|14
PR|PR|182
PR|PS|1
PS|PS|10247
PS|PT|1
PT|PT|2028
PT|PW|10
PW|PW|819
PW|PY|5
PY|PY|1216
PY|QA|14
QA|QA|4313
QA|RE|1
RE|RE|284
RO|RO|18543
RO|RS|8
RS|RS|4533
RU|RU|214785
RU|RW|4
RW|RW|782
RW|SA|1
SA|SA|17292
SA|SB|3
SB|SB|1241
SB|SC|2
SC|SC|179
SC|SD|6
SD|SD|10636
SE|SE|40472
SG|SG|182
SG|SH|5
SH|SH|68
SH|SI|4
SI|SI|2967
SI|SJ|1
SJ|SJ|3924
SJ|SK|2
SK|SK|4467
SK|SL|1
SL|SL|446
SL|SM|7
SM|SM|9
SM|SN|1
SN|SN|4576
SN|SO|3
SO|SO|4418
SO|SR|2
SR|SR|899
SR|SS|1
SS|SS|981
SS|ST|1
ST|ST|192
ST|SV|1
SV|SV|2866
SV|SX|1
SX|SX|51
SX|SY|1
SY|SY|43316
SZ|SZ|85
SZ|TC|1
TC|TC|57
TD|TD|4167
TD|TF|1
TF|TF|835
TF|TG|5
TG|TG|1788
TH|TH|160579
TJ|TJ|2309
TJ|TK|4
TK|TK|25
TK|TL|2
TL|TL|441
TL|TM|1
TM|TM|1838
TN|TN|18706
TN|TO|6
TO|TO|303
TO|TR|5
TR|TR|46699
TR|TT|1
TT|TT|235
TT|TV|6
TV|TV|68
TV|TW|4
TW|TW|82374
TW|TZ|1
TZ|TZ|1090
TZ|UA|2
UA|UA|37215
UA|UG|1
UG|UG|789
UM|UM|47
UM|US|1
US|US|12636
US|UY|3
UY|UY|4682
UY|UZ|5
UZ|UZ|4130
UZ|VA|7
VA|VA|13
VA|VC|1
VC|VC|84
VC|VE|1
VE|VE|4654
VE|VG|6
VG|VG|40
VG|VI|2
VI|VI|22
VI|VN|1
VN|VN|25362
VN|VU|3
VU|VU|1353
VU|WF|6
WF|WF|130
WF|WS|1
WS|WS|194
WS|XK|2
XK|XK|4555
XK|YE|3
YE|YE|39008
YT|YT|351
YT|YU|1
YU|YU|2
ZA|ZA|6802
ZA|ZM|1
ZM|ZM|3155
ZM|ZW|3
ZW|ZW|2437
